timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rssi_watch,rssi_iphone
4102.0,-0.93,-0.2,0.06,-0.12,0.18,0.0,999.0,999.0
4119.0,-0.94,-0.21,0.07,0.06,0.43,-0.06,999.0,999.0
4140.0,-0.94,-0.21,0.07,0.49,0.37,-0.12,999.0,999.0
4157.0,-0.94,-0.21,0.06,0.31,0.31,-0.24,999.0,999.0
4178.0,-0.94,-0.21,0.06,-0.12,0.18,-0.12,999.0,999.0
4204.0,-0.94,-0.21,0.07,-0.37,0.18,0.06,999.0,999.0
4223.0,-0.94,-0.21,0.07,0.0,0.18,0.0,999.0,999.0
4244.0,-0.94,-0.21,0.07,0.0,0.06,-0.12,999.0,999.0
4263.0,-0.94,-0.22,0.07,-0.67,-0.12,-0.24,999.0,999.0
4280.0,-0.94,-0.22,0.07,-1.34,-0.24,-0.24,999.0,999.0
4298.0,-0.94,-0.21,0.07,-1.34,-0.24,-0.12,999.0,999.0
4319.0,-0.94,-0.21,0.07,-0.98,-0.18,0.0,999.0,999.0
4336.0,-0.94,-0.21,0.07,-0.73,-0.06,0.0,999.0,999.0
4357.0,-0.94,-0.21,0.07,-0.85,-0.12,-0.18,999.0,999.0
4378.0,-0.94,-0.21,0.07,-0.92,-0.31,-0.24,999.0,999.0
4399.0,-0.94,-0.21,0.07,-0.85,-0.24,-0.24,999.0,999.0
4419.0,-0.94,-0.21,0.07,-0.55,-0.12,-0.12,999.0,999.0
4436.0,-0.94,-0.22,0.07,-0.12,0.06,-0.18,999.0,999.0
4457.0,-0.94,-0.22,0.06,-0.12,0.12,-0.31,999.0,999.0
4479.0,-0.94,-0.21,0.06,-0.37,0.06,-0.31,999.0,999.0
4502.0,-0.94,-0.21,0.07,-0.92,-0.24,-0.37,999.0,999.0
4521.0,-0.94,-0.21,0.07,-0.31,-0.18,-0.43,999.0,999.0
4538.0,-0.94,-0.21,0.07,0.43,-0.06,-0.43,999.0,999.0
4559.0,-0.94,-0.21,0.07,0.67,0.0,-0.61,999.0,999.0
4576.0,-0.94,-0.21,0.06,0.12,-0.12,-0.73,999.0,999.0
4598.0,-0.94,-0.22,0.06,-0.31,-0.12,-0.73,999.0,999.0
4619.0,-0.94,-0.22,0.07,-0.55,-0.18,-0.37,999.0,999.0
4636.0,-0.94,-0.22,0.07,-0.12,-0.18,-0.24,999.0,999.0
4657.0,-0.94,-0.22,0.07,0.37,-0.12,-0.31,999.0,999.0
4678.0,-0.94,-0.21,0.06,-0.55,-0.24,-0.37,999.0,999.0
4710.0,-0.94,-0.21,0.06,-1.28,-0.18,-0.37,999.0,999.0
4727.0,-0.94,-0.21,0.06,-1.16,-0.18,-0.43,999.0,999.0
4748.0,-0.94,-0.21,0.06,-0.49,-0.12,-0.31,999.0,999.0
4769.0,-0.94,-0.21,0.06,0.06,-0.12,-0.24,999.0,999.0
4787.0,-0.94,-0.21,0.06,0.06,0.06,-0.31,999.0,999.0
4811.0,-0.94,-0.21,0.06,-0.43,0.0,-0.43,999.0,999.0
4828.0,-0.94,-0.21,0.06,-0.79,0.06,-0.43,999.0,999.0
4849.0,-0.94,-0.21,0.06,-0.55,0.0,-0.31,999.0,999.0
4870.0,-0.94,-0.21,0.06,-0.06,0.0,-0.31,999.0,999.0
4887.0,-0.94,-0.21,0.06,-0.06,0.0,-0.31,999.0,999.0
4915.0,-0.94,-0.21,0.06,-0.37,0.0,-0.37,999.0,999.0
4936.0,-0.94,-0.21,0.06,-0.43,0.12,-0.31,999.0,999.0
4957.0,-0.94,-0.21,0.06,-0.18,0.31,-0.18,999.0,999.0
4974.0,-0.94,-0.21,0.06,0.18,0.43,-0.18,999.0,999.0
4995.0,-0.94,-0.21,0.06,0.12,0.37,-0.31,999.0,999.0
5017.0,-0.94,-0.21,0.06,-0.12,0.24,-0.31,999.0,999.0
5038.0,-0.94,-0.21,0.06,-0.43,0.31,-0.24,999.0,999.0
5055.0,-0.94,-0.21,0.06,-0.31,0.31,-0.12,999.0,999.0
5076.0,-0.94,-0.21,0.07,0.12,0.24,-0.12,999.0,999.0
5097.0,-0.94,-0.21,0.07,0.06,0.24,-0.18,999.0,999.0
5120.0,-0.94,-0.21,0.07,-0.49,0.18,-0.18,999.0,999.0
5140.0,-0.94,-0.21,0.07,-0.79,0.06,-0.18,999.0,999.0
5157.0,-0.94,-0.21,0.07,-0.61,0.06,-0.18,999.0,999.0
5173.0,-0.94,-0.21,0.07,-0.24,0.18,-0.24,999.0,999.0
5196.0,-0.94,-0.21,0.07,0.06,0.06,-0.24,999.0,999.0
5216.0,-0.94,-0.21,0.07,0.31,0.12,-0.12,999.0,999.0
5232.0,-0.94,-0.21,0.07,0.55,0.18,-0.24,999.0,999.0
5253.0,-0.94,-0.21,0.07,0.61,0.18,-0.31,999.0,999.0
5274.0,-0.94,-0.21,0.07,0.61,0.24,-0.49,999.0,999.0
5296.0,-0.94,-0.22,0.07,0.49,0.06,-0.43,999.0,999.0
5319.0,-0.93,-0.22,0.07,0.49,-0.31,-0.31,999.0,999.0
5339.0,-0.94,-0.22,0.07,0.12,-0.43,-0.18,999.0,999.0
5360.0,-0.94,-0.22,0.07,-0.73,-0.18,-0.18,999.0,999.0
5381.0,-0.94,-0.21,0.07,-0.67,-0.06,-0.18,999.0,999.0
5402.0,-0.94,-0.21,0.07,-0.37,-0.12,-0.18,999.0,999.0
5419.0,-0.94,-0.21,0.06,-0.24,-0.24,-0.24,999.0,999.0
5434.0,-0.94,-0.21,0.06,-0.55,-0.37,-0.24,999.0,999.0
5454.0,-0.94,-0.21,0.06,-0.67,-0.31,-0.24,999.0,999.0
5475.0,-0.94,-0.21,0.06,-0.12,-0.06,-0.37,999.0,999.0
5497.0,-0.94,-0.21,0.06,0.0,0.0,-0.43,999.0,999.0
5523.0,-0.94,-0.21,0.06,0.0,0.0,-0.37,999.0,999.0
5544.0,-0.94,-0.21,0.06,0.06,-0.12,-0.18,999.0,999.0
5564.0,-0.94,-0.21,0.06,0.12,0.06,-0.06,999.0,999.0
5581.0,-0.94,-0.21,0.06,0.0,0.18,-0.12,999.0,999.0
5607.0,-0.94,-0.21,0.06,-0.31,0.12,-0.12,999.0,999.0
5624.0,-0.94,-0.21,0.06,-0.37,-0.06,-0.18,999.0,999.0
5645.0,-0.94,-0.21,0.07,-0.49,-0.24,-0.12,999.0,999.0
5662.0,-0.94,-0.21,0.07,-0.85,-0.31,-0.12,999.0,999.0
5679.0,-0.94,-0.22,0.07,-0.98,-0.24,-0.12,999.0,999.0
5701.0,-0.94,-0.22,0.07,-1.04,-0.12,-0.18,999.0,999.0
5733.0,-0.94,-0.21,0.06,-1.16,-0.12,-0.12,999.0,999.0
5753.0,-0.94,-0.21,0.06,-1.22,-0.24,-0.18,999.0,999.0
5770.0,-0.94,-0.21,0.06,-1.1,-0.18,-0.12,999.0,999.0
5791.0,-0.94,-0.21,0.06,-0.55,0.06,0.0,999.0,999.0
5811.0,-0.94,-0.21,0.06,0.12,0.24,0.0,999.0,999.0
5831.0,-0.94,-0.21,0.06,0.43,0.31,0.0,999.0,999.0
5848.0,-0.94,-0.21,0.06,0.49,0.43,-0.18,999.0,999.0
5869.0,-0.94,-0.21,0.06,0.37,0.43,-0.24,999.0,999.0
5881.0,-0.94,-0.21,0.06,0.49,0.24,-0.31,999.0,999.0
5902.0,-0.94,-0.21,0.06,0.73,0.31,-0.43,999.0,999.0
5922.0,-0.94,-0.21,0.07,0.85,0.18,-0.49,999.0,999.0
5943.0,-0.94,-0.22,0.07,0.55,0.18,-0.61,999.0,999.0
5964.0,-0.93,-0.22,0.07,-0.73,-0.06,-0.61,999.0,999.0
5981.0,-0.94,-0.23,0.07,-1.1,-0.18,-0.37,999.0,999.0
6007.0,-0.94,-0.22,0.07,-0.85,-0.31,-0.06,999.0,999.0
6028.0,-0.94,-0.21,0.07,-0.67,-0.24,0.06,999.0,999.0
6045.0,-0.94,-0.21,0.07,-0.79,-0.06,-0.12,999.0,999.0
6060.0,-0.94,-0.21,0.06,-1.1,0.06,-0.37,999.0,999.0
6081.0,-0.94,-0.21,0.06,-1.1,-0.06,-0.49,999.0,999.0
6103.0,-0.94,-0.21,0.06,-0.98,-0.18,-0.49,999.0,999.0
6126.0,-0.94,-0.21,0.06,-0.61,-0.12,-0.43,999.0,999.0
6147.0,-0.94,-0.21,0.06,0.24,0.06,-0.31,999.0,999.0
6168.0,-0.94,-0.21,0.06,0.85,0.18,-0.49,999.0,999.0
6184.0,-0.94,-0.21,0.06,0.43,0.18,-0.55,999.0,999.0
6201.0,-0.94,-0.21,0.07,-0.31,0.24,-0.55,999.0,999.0
6220.0,-0.94,-0.22,0.07,-0.24,0.18,-0.49,999.0,999.0
6235.0,-0.94,-0.22,0.06,-0.12,0.12,-0.43,999.0,999.0
6253.0,-0.94,-0.22,0.06,-0.06,0.0,-0.37,999.0,999.0
6274.0,-0.94,-0.22,0.07,-0.37,-0.12,-0.37,999.0,999.0
6295.0,-0.94,-0.21,0.07,-0.67,-0.24,-0.37,999.0,999.0
6328.0,-0.94,-0.21,0.07,-1.28,-0.18,-0.43,999.0,999.0
6349.0,-0.94,-0.21,0.07,-1.1,-0.12,-0.43,999.0,999.0
6370.0,-0.94,-0.21,0.07,-0.73,0.06,-0.37,999.0,999.0
6387.0,-0.94,-0.21,0.06,-0.79,0.12,-0.24,999.0,999.0
6413.0,-0.94,-0.21,0.06,-0.61,0.12,-0.24,999.0,999.0
6430.0,-0.94,-0.21,0.06,-0.12,0.06,-0.24,999.0,999.0
6451.0,-0.94,-0.21,0.07,-0.06,0.06,-0.37,999.0,999.0
