timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rssi_watch,rssi_iphone
5246.0,-0.94,-0.17,0.03,-0.67,-0.37,-0.49,999.0,999.0
5259.0,-0.95,-0.17,0.03,-0.24,-0.43,-0.67,999.0,999.0
5281.0,-0.95,-0.18,0.04,-0.18,-0.43,-0.67,999.0,999.0
5302.0,-0.95,-0.18,0.04,-0.79,-0.24,-0.24,999.0,999.0
5319.0,-0.96,-0.18,0.03,-1.46,-0.67,-0.12,999.0,999.0
5340.0,-0.96,-0.18,0.03,-1.04,-0.37,-0.37,999.0,999.0
5362.0,-0.95,-0.18,0.03,-0.24,-0.31,-0.61,999.0,999.0
5381.0,-0.95,-0.18,0.03,-0.98,-0.31,-0.43,999.0,999.0
5399.0,-0.95,-0.18,0.04,-1.89,-0.37,-0.18,999.0,999.0
5413.0,-0.95,-0.17,0.03,-3.23,-0.55,0.12,999.0,999.0
5432.0,-0.95,-0.17,0.03,-1.95,-0.79,0.12,999.0,999.0
5453.0,-0.95,-0.17,0.03,-0.31,-0.61,-0.24,999.0,999.0
5473.0,-0.95,-0.17,0.04,-0.61,-0.18,-0.37,999.0,999.0
5490.0,-0.95,-0.17,0.03,-1.4,-0.06,-0.24,999.0,999.0
5516.0,-0.95,-0.17,0.03,-1.28,-0.24,-0.24,999.0,999.0
5533.0,-0.95,-0.17,0.03,-0.92,-0.37,-0.24,999.0,999.0
5554.0,-0.95,-0.17,0.04,-0.55,-0.31,-0.24,999.0,999.0
5575.0,-0.95,-0.17,0.04,-0.12,-0.06,-0.31,999.0,999.0
5596.0,-0.95,-0.17,0.03,-0.37,0.06,-0.18,999.0,999.0
5620.0,-0.95,-0.17,0.03,-0.49,0.12,-0.12,999.0,999.0
5651.0,-0.95,-0.17,0.03,0.06,0.12,-0.31,999.0,999.0
5671.0,-0.95,-0.17,0.03,0.79,0.12,-0.31,999.0,999.0
5688.0,-0.95,-0.17,0.04,0.61,0.0,-0.31,999.0,999.0
5705.0,-0.95,-0.18,0.04,-0.31,-0.37,-0.18,999.0,999.0
5726.0,-0.95,-0.18,0.04,-0.49,-0.18,-0.06,999.0,999.0
5752.0,-0.95,-0.18,0.03,0.18,-0.12,-0.12,999.0,999.0
5770.0,-0.95,-0.17,0.03,0.55,0.0,-0.12,999.0,999.0
5790.0,-0.95,-0.17,0.03,-0.18,0.0,-0.18,999.0,999.0
5809.0,-0.95,-0.17,0.03,-0.49,-0.24,-0.31,999.0,999.0
5825.0,-0.95,-0.17,0.03,0.49,-0.18,-0.37,999.0,999.0
5853.0,-0.95,-0.17,0.03,1.34,-0.12,-0.37,999.0,999.0
5873.0,-0.95,-0.18,0.03,0.85,-0.18,-0.37,999.0,999.0
5890.0,-0.95,-0.18,0.03,0.18,-0.31,-0.18,999.0,999.0
5911.0,-0.95,-0.18,0.03,-0.06,-0.49,-0.12,999.0,999.0
5930.0,-0.95,-0.18,0.04,0.0,-0.18,-0.06,999.0,999.0
5952.0,-0.96,-0.18,0.03,-0.18,-0.06,-0.12,999.0,999.0
5973.0,-0.95,-0.18,0.03,0.06,-0.18,-0.31,999.0,999.0
5990.0,-0.95,-0.18,0.03,-0.06,-0.61,-0.24,999.0,999.0
6011.0,-0.95,-0.17,0.03,-1.4,-0.55,0.12,999.0,999.0
6032.0,-0.95,-0.17,0.03,-0.85,-0.85,0.18,999.0,999.0
6061.0,-0.95,-0.17,0.03,-0.06,-0.43,-0.12,999.0,999.0
6082.0,-0.95,-0.17,0.03,0.31,-0.37,-0.18,999.0,999.0
6101.0,-0.95,-0.17,0.03,-0.24,-0.18,-0.12,999.0,999.0
6118.0,-0.95,-0.17,0.03,-0.92,-0.24,-0.12,999.0,999.0
6143.0,-0.95,-0.17,0.03,-1.16,-0.55,0.0,999.0,999.0
6159.0,-0.95,-0.17,0.03,-0.24,-0.55,-0.06,999.0,999.0
6180.0,-0.95,-0.17,0.03,0.24,-0.31,0.0,999.0,999.0
6197.0,-0.95,-0.17,0.03,0.61,-0.06,0.06,999.0,999.0
6218.0,-0.95,-0.17,0.03,0.55,0.06,0.06,999.0,999.0
6239.0,-0.95,-0.17,0.03,-0.24,0.24,0.12,999.0,999.0
6258.0,-0.95,-0.17,0.02,-0.06,0.24,0.12,999.0,999.0
6279.0,-0.95,-0.18,0.02,0.98,0.0,-0.06,999.0,999.0
6296.0,-0.95,-0.18,0.03,0.55,-0.06,-0.24,999.0,999.0
6313.0,-0.95,-0.18,0.03,-0.12,-0.31,-0.31,999.0,999.0
6332.0,-0.95,-0.18,0.03,0.12,0.12,-0.31,999.0,999.0
6359.0,-0.95,-0.18,0.03,-0.24,0.37,-0.18,999.0,999.0
6379.0,-0.95,-0.18,0.03,-0.37,0.18,-0.18,999.0,999.0
6400.0,-0.95,-0.18,0.03,-0.31,0.0,-0.06,999.0,999.0
6419.0,-0.95,-0.17,0.03,-1.46,-0.06,0.18,999.0,999.0
6440.0,-0.95,-0.16,0.03,-0.49,0.43,0.0,999.0,999.0
6459.0,-0.96,-0.17,0.02,0.18,0.55,-0.18,999.0,999.0
6479.0,-0.95,-0.17,0.03,0.24,0.73,-0.37,999.0,999.0
6497.0,-0.95,-0.18,0.02,-0.24,0.49,-0.49,999.0,999.0
6517.0,-0.95,-0.17,0.02,-0.18,0.61,-0.12,999.0,999.0
6538.0,-0.96,-0.17,0.03,-0.43,0.79,0.06,999.0,999.0
6558.0,-0.96,-0.17,0.03,-0.61,1.1,0.0,999.0,999.0
6575.0,-0.96,-0.17,0.03,-0.37,1.34,-0.06,999.0,999.0
6592.0,-0.95,-0.17,0.02,0.98,2.14,-0.31,999.0,999.0
6613.0,-0.95,-0.18,0.01,2.69,2.5,-0.43,999.0,999.0
6630.0,-0.96,-0.18,0.03,8.3,3.36,0.0,999.0,999.0
6652.0,-0.97,-0.18,0.04,7.02,4.46,0.85,999.0,999.0
6670.0,-0.95,-0.16,0.0,4.15,4.94,0.92,999.0,999.0
6691.0,-0.95,-0.16,0.0,4.88,4.46,0.49,999.0,999.0
6711.0,-0.95,-0.14,0.04,2.62,4.39,0.49,999.0,999.0
6734.0,-0.96,-0.15,0.04,1.89,5.86,0.06,999.0,999.0
6752.0,-0.97,-0.15,0.03,0.06,7.08,-0.55,999.0,999.0
6770.0,-0.96,-0.15,0.0,-0.61,7.51,-0.79,999.0,999.0
6790.0,-0.95,-0.15,0.0,0.67,8.12,-0.24,999.0,999.0
6811.0,-0.96,-0.14,0.03,2.01,9.52,0.31,999.0,999.0
6834.0,-0.96,-0.15,0.05,3.36,10.93,-0.43,999.0,999.0
6864.0,-0.95,-0.17,0.04,0.92,12.39,-3.23,999.0,999.0
