timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,phone_rssi,watch_rssi
249867,0.3,0.09,0.94,0.12,0.06,0.0,407.0,-771.0,395.0,-63.0,-78.0
249895,0.3,0.09,0.95,0.37,0.37,0.06,405.0,-771.0,398.0,-63.0,-78.0
249928,0.3,0.09,0.95,0.24,0.0,0.06,405.0,-771.0,398.0,-63.0,-78.0
249953,0.31,0.09,0.95,0.0,0.0,0.12,405.0,-771.0,398.0,-63.0,-78.0
249989,0.3,0.09,0.95,0.24,0.49,0.12,405.0,-771.0,398.0,-63.0,-78.0
250012,0.31,0.09,0.95,0.0,0.12,0.06,406.0,-770.0,392.0,-63.0,-78.0
250045,0.3,0.09,0.95,0.24,0.24,0.06,406.0,-770.0,392.0,-63.0,-78.0
250085,0.3,0.09,0.95,0.24,0.24,0.12,406.0,-770.0,392.0,-63.0,-78.0
250111,0.31,0.09,0.95,0.24,0.12,0.06,405.0,-768.0,395.0,-63.0,-78.0
250151,0.31,0.09,0.95,0.31,0.12,0.06,405.0,-768.0,395.0,-63.0,-78.0
250181,0.3,0.09,0.95,0.18,0.06,0.06,405.0,-768.0,395.0,-63.0,-78.0
250212,0.31,0.09,0.95,0.31,0.24,0.06,406.0,-767.0,397.0,-63.0,-78.0
250241,0.3,0.09,0.95,0.18,0.12,0.12,406.0,-767.0,397.0,-63.0,-78.0
250267,0.3,0.09,0.95,0.12,0.31,0.12,406.0,-767.0,397.0,-63.0,-78.0
250299,0.3,0.09,0.95,-0.06,0.12,0.06,407.0,-769.0,398.0,-61.0,-78.0
250329,0.31,0.09,0.95,0.18,0.12,0.12,407.0,-769.0,398.0,-61.0,-78.0
250366,0.3,0.09,0.95,0.06,0.18,0.06,407.0,-769.0,398.0,-61.0,-78.0
250394,0.3,0.09,0.95,0.06,0.12,0.12,406.0,-770.0,395.0,-61.0,-79.0
250434,0.3,0.09,0.95,0.24,0.31,0.12,406.0,-770.0,395.0,-61.0,-79.0
250470,0.3,0.09,0.95,0.12,0.24,0.18,406.0,-770.0,395.0,-61.0,-79.0
250493,0.31,0.09,0.95,0.06,0.31,0.0,406.0,-769.0,399.0,-61.0,-79.0
250527,0.3,0.09,0.95,0.24,0.24,0.06,406.0,-769.0,399.0,-61.0,-79.0
250558,0.3,0.09,0.95,0.12,0.12,0.12,406.0,-769.0,399.0,-61.0,-79.0
250596,0.3,0.09,0.95,0.06,0.12,0.12,408.0,-769.0,395.0,-61.0,-79.0
250628,0.31,0.09,0.95,0.18,0.31,0.12,408.0,-769.0,395.0,-61.0,-79.0
250657,0.3,0.09,0.95,0.06,0.12,0.06,408.0,-769.0,395.0,-61.0,-79.0
250683,0.3,0.09,0.95,0.12,0.12,0.12,406.0,-768.0,401.0,-61.0,-79.0
250719,0.3,0.09,0.95,0.24,0.24,0.06,406.0,-768.0,401.0,-61.0,-79.0
250742,0.3,0.09,0.95,0.24,0.06,0.06,406.0,-768.0,401.0,-61.0,-79.0
250766,0.3,0.09,0.95,0.12,0.31,0.06,406.0,-768.0,401.0,-61.0,-79.0
250798,0.3,0.09,0.95,0.12,0.12,0.06,405.0,-768.0,397.0,-61.0,-79.0
250819,0.3,0.09,0.95,0.18,0.12,0.06,405.0,-768.0,397.0,-61.0,-77.0
250840,0.3,0.09,0.95,0.18,0.12,0.12,405.0,-768.0,397.0,-61.0,-77.0
250868,0.3,0.09,0.95,0.24,0.12,0.12,405.0,-768.0,397.0,-61.0,-77.0
250899,0.3,0.09,0.95,0.06,0.06,0.06,407.0,-772.0,392.0,-61.0,-77.0
250928,0.3,0.09,0.95,0.12,0.24,0.06,407.0,-772.0,392.0,-61.0,-77.0
250962,0.3,0.09,0.95,0.06,0.18,0.06,407.0,-772.0,392.0,-61.0,-77.0
250992,0.31,0.09,0.95,0.06,0.24,0.06,405.0,-769.0,404.0,-61.0,-82.0
251027,0.3,0.09,0.95,0.06,0.18,0.06,405.0,-769.0,404.0,-61.0,-82.0
251058,0.3,0.09,0.95,0.24,0.12,0.18,405.0,-769.0,404.0,-61.0,-82.0
251087,0.3,0.09,0.95,0.12,0.18,0.06,405.0,-770.0,398.0,-61.0,-82.0
251120,0.3,0.09,0.95,0.12,0.18,0.12,405.0,-770.0,398.0,-61.0,-82.0
251149,0.31,0.09,0.95,0.06,0.18,0.06,405.0,-770.0,398.0,-61.0,-82.0
251185,0.3,0.09,0.95,0.24,0.18,0.06,405.0,-768.0,399.0,-61.0,-82.0
251218,0.3,0.09,0.95,0.12,0.06,0.12,405.0,-768.0,399.0,-61.0,-82.0
251247,0.3,0.09,0.95,0.18,0.18,0.06,405.0,-768.0,399.0,-61.0,-82.0
